Outcomes	coefficient	pval	pre_cont_mean	pre_cont_sd	pre_cont_n	post_cont_mean	post_cont_sd	post_cont_n	pre_int_mean	pre_int_sd	pre_int_n	post_int_mean	post_int_sd	post_int_n
SFA 17:0 margaric acid g	0.000276148018648025	0.913695295036882	0.00328076923076923	0.00492187034493064	13	0.00469545454545455	0.00661137105846641	11	0.00429166666666667	0.00398343490259203	24	0.0059825	0.00510838513467911	20
SFA 18:0 stearic acid g	0.651946451048948	0.472316434998388	2.46523076923077	1.69451168747057	13	2.14918181818182	1.59518236062099	11	2.4364875	1.69822465023419	24	2.772385	1.97756222179707	20
SFA 20:0 arachidic acid g	0.0253789860139861	0.250578072912808	0.0389230769230769	0.0553947373229346	13	0.0289090909090909	0.0456430817221067	11	0.0365	0.0286614420584444	24	0.051865	0.0467997303748418	20
SFA 22:0 behenic acid g	0.00270023310023322	0.880807411677769	0.0126153846153846	0.0169928340854729	13	0.0241818181818182	0.0459321634191517	11	0.0285833333333333	0.0198995666692315	24	0.0428500000000001	0.0490287509636199	20
MUFA 14:1 myristoleic acid g	0.00298083333333332	0.32375625620288	0.0044	0.00686949779823824	13	0.0013	0.00431161222746202	11	0.00297916666666667	0.00593237097308647	24	0.00286	0.00586859617392709	20
MUFA 16:1 palmitoleic acid g	0.365215617715622	0.542806727926123	2.61323076923077	0.974300873605116	13	2.29618181818182	0.969567513707201	11	2.53333333333333	1.13027879079789	24	2.5815	1.40859326989731	20
MUFA 18:1 oleic acid g	4.38821656177158	0.153196429202285	12.9689230769231	7.44453051420458	13	10.0898181818182	4.86265305811924	11	12.2674583333333	4.40922616674318	24	13.77657	6.97463082170323	20
MUFA 20:1 gadoleic acid g	0.0666804487179487	0.590019989668501	0.539384615384615	0.189984007424107	13	0.515	0.198243284879968	11	0.549541666666667	0.223032650985897	24	0.5918375	0.305137418083187	20
MUFA 22:1 erucic acid g	-0.0106282051282061	0.867369767299846	0.127538461538462	0.0496783242212929	13	0.156	0.11351299485081	11	0.163916666666667	0.127181115861924	24	0.18175	0.155670662821091	20
PUFA 18:2 linoleic acid g	0.712233216783254	0.71262801737823	5.13269230769231	4.09188384456791	13	4.50390909090909	3.43241741210318	11	6.816	3.17651852080914	24	6.89945	4.37227197924904	20
PUFA 18:3 linolenic acid g	0.135259396853152	0.672475394502718	1.23530769230769	0.483300007692838	13	1.09945454545455	0.617303387911708	11	1.50999375	0.632190567772866	24	1.5094	0.696201830989896	20
PUFA 18:4 parinaric acid g	0.0272735431235431	0.645288292984192	0.245153846153846	0.103563866087426	13	0.218363636363636	0.112940048456934	11	0.231666666666667	0.107183981065743	24	0.23215	0.133205134641037	20
PUFA 20:4 arachidonic acid g	0.142693531468533	0.568391038696501	1.07092307692308	0.374752910048399	13	0.900454545454545	0.479237595277408	11	1.020125	0.496369367420113	24	0.99235	0.544122594061689	20
PUFA 20:5 eicosapentaenoic acid EPA g	0.283936247086248	0.439438033959649	1.58069230769231	0.568908953555749	13	1.31727272727273	0.658974975383602	11	1.47658333333333	0.67529561428064	24	1.4971	0.86251693499774	20
PUFA 22:5 docosapentaenoic acid DPA g	0.0847910023310025	0.63957396801235	0.748846153846154	0.290801721153161	13	0.650181818181818	0.33738755702658	11	0.756958333333333	0.350180634029461	24	0.743085	0.39968643930356	20
PUFA 22:6 docosahexaenoic acid DHA g	0.503524504662005	0.624570679347001	4.38069230769231	1.56041406815709	13	3.81336363636364	1.93105863570878	11	4.39491666666667	2.00028762967961	24	4.3311125	2.29455306173664	20
Tryptophan g	0.140554828088582	0.606840073913467	1.50739615384615	0.426900679540696	13	1.42609090909091	0.458676019548756	11	1.41942291666667	0.482572518988004	24	1.4786725	0.671674028958714	20
Threonine g	0.55414616841493	0.589345782999973	5.58813461538462	1.57471356725922	13	5.24763636363636	1.81244223481618	11	5.20361458333333	1.81169746847482	24	5.4172625	2.50490893110408	20
Isoleucine g	0.607637896270411	0.590285167504527	6.07574615384615	1.76220527683137	13	5.72890909090909	1.86653633527695	11	5.66865416666667	1.98698756062257	24	5.929455	2.79142474968099	20
Leucine g	1.11044379079257	0.56602886897624	10.8016576923077	2.97813363785709	13	10.0791818181818	3.28129397702132	11	10.1175645833333	3.43925455113393	24	10.5055325	4.74400146299112	20
Lysine g	1.4920145804196	0.460027840532042	10.6340923076923	3.08452738315547	13	9.62727272727273	3.45474196115742	11	9.694875	3.64674832302995	24	10.18007	4.8901357885678	20
Methionine g	0.497635687645697	0.465009485707502	3.71991538461538	1.04872903701429	13	3.36863636363636	1.16409469311798	11	3.43058333333333	1.22916949397857	24	3.57694	1.64715688301484	20
Cystine g	0.0908849388111947	0.761899460727464	1.69318846153846	0.483242558208714	13	1.66272727272727	0.532891563248864	11	1.64089375	0.518948872054912	24	1.7013175	0.731489039791798	20
Phenylalanine g	0.45358924533801	0.644504774538148	5.59165769230769	1.54351640956699	13	5.32763636363636	1.64070273192479	11	5.32006458333333	1.73593522598046	24	5.5096325	2.41999733695346	20
Tyrosine g	0.450069003496514	0.579548752900733	4.50106923076923	1.25845952615663	13	4.23227272727273	1.35605494659391	11	4.2024125	1.43690506367361	24	4.383685	2.00276199607468	20
Valine g	0.664726317016336	0.596624053340849	7.06387692307692	1.94045987597178	13	6.60272727272727	2.0759418629099	11	6.66993333333333	2.23013690019765	24	6.87351	3.09913565096022	20
Arginine g	0.353396896853169	0.81566397038366	8.44705769230769	2.35191240481781	13	8.18145454545455	2.56104765139723	11	8.26528125	2.81625618480235	24	8.353075	3.61073474817945	20
Histidine g	0.52187441142192	0.443765634063375	3.74229615384615	1.07039182788001	13	3.40209090909091	1.08764594005085	11	3.47895833333333	1.21197616130834	24	3.6606275	1.68186388917295	20
Alanine g	0.865645547785568	0.546421637513035	7.82779615384615	2.22813963286093	13	7.29772727272727	2.53360514251566	11	7.29495833333333	2.5710337200225	24	7.630535	3.45534374800372	20
Aspartic Acid g	1.39293969696973	0.561723084149317	13.20865	3.70004019246188	13	12.2893636363636	4.09991681068597	11	12.3257916666667	4.36095301689662	24	12.799445	5.7880686599995	20
Glutamic Acid g	0.490823642191193	0.895291080790709	21.6077153846154	5.97939011129705	13	21.9110909090909	6.02984206185445	11	20.9975958333333	6.65386883984107	24	21.791795	9.15363241626399	20
